Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Highest
"Kinect: Disneyland Adventures",1.73,0.46,0.02,0.18,2.38,NA
"WCW/nWo Revenge",1.94,0.39,0.03,0.02,2.38,NA
Bloodborne,1,0.76,0.26,0.36,2.38,NA
"Yu-Gi-Oh! The Duelists of the Roses",1.16,0.91,0,0.3,2.38,NA
"Medal of Honor: Airborne",0.7,1.27,0.04,0.38,2.38,EU
"Cabela's Big Game Hunter 2010",2.2,0,0,0.17,2.37,NA
"Mirror's Edge",0.82,1.15,0.03,0.36,2.37,EU
"NBA Jam Tournament Edition",1.96,0.35,0,0.07,2.37,NA
"Tomb Raider: Anniversary",0.86,1.14,0,0.37,2.37,EU
"NBA Live 08",2.07,0.04,0.02,0.23,2.37,NA
"The Walking Dead: Season One",1.29,0.73,0.05,0.29,2.36,NA
"Kinect Sports: Season Two",1.38,0.74,0.02,0.22,2.36,NA
"Kirby's Dream Land 2",0.69,0.14,1.48,0.05,2.36,JP
"MX Unleashed",1.28,0.81,0,0.27,2.36,NA
"Madden NFL 2000",2.26,0.06,0,0.04,2.36,NA
"Turok: Evolution",1.41,0.75,0,0.2,2.36,NA
"Donkey Kong Land II",1.39,0.48,0.4,0.08,2.35,NA
"Dragon Warrior Monsters",0,0,2.34,0.01,2.35,JP
"Dragon Quest Monsters 2",0,0,2.35,0,2.35,JP
"NBA Live 2001",1.22,0.87,0.04,0.21,2.35,NA
"Harry Potter and the Goblet of Fire",1.86,0.34,0,0.16,2.35,NA
"Disney Infinity 3.0",0.92,1.13,0,0.3,2.34,EU
"My Fitness Coach",1.2,0.9,0,0.24,2.34,NA
"Star Wars: Knights of the Old Republic",1.69,0.54,0,0.1,2.33,NA
"SpongeBob SquarePants: SuperSponge",1.51,0.73,0,0.09,2.33,NA
"Knockout Kings 2000",1.65,0.61,0,0.07,2.33,NA
"NBA Live 07",2,0.05,0.02,0.25,2.33,NA
"Metal Gear Solid V: Ground Zeroes",0.81,0.77,0.45,0.29,2.33,NA
"The Legend of Zelda: Majora's Mask 3D",1.14,0.54,0.47,0.17,2.32,NA
"Just Dance Kids",1.57,0.56,0,0.19,2.32,NA
"WWE 2K14",1.13,0.88,0,0.31,2.32,NA
"Crash of the Titans",1.68,0.33,0,0.32,2.32,NA
"Mercenaries 2: World in Flames",1.15,0.7,0.03,0.43,2.31,NA
"Epic Mickey 2: The Power of Two",1.39,0.67,0.01,0.22,2.31,NA
"WarioWare Touched!",0.52,0.45,1.21,0.13,2.31,JP
"Need For Speed: High Stakes",1.58,0.64,0,0.09,2.31,NA
"Cool Boarders 3",1.65,0.46,0.1,0.1,2.31,NA
"Tiger Woods PGA Tour 2003",1.33,0.76,0,0.23,2.31,NA
"SingStar Abba",0.5,0.55,0,1.26,2.31,EU
"Guild Wars 2",0.95,1.06,0,0.29,2.3,EU
"Pokemon Ranger: Shadows of Almia",0.95,0.54,0.62,0.18,2.3,NA
"50 Cent: Bulletproof",1.26,0.86,0,0.19,2.3,NA
"F1 2010",0.43,1.4,0.09,0.38,2.3,EU
"Final Fantasy X / X-2 HD Remaster",0.64,0.71,0.6,0.34,2.3,EU
"Aliens vs Predator",0.96,1.04,0,0.31,2.3,EU
"Crash: Mind Over Mutant",1.33,0.68,0,0.29,2.3,NA
"God of War: Ascension",1.23,0.68,0.04,0.34,2.29,NA
"NFL Street 2",1.3,0.77,0,0.24,2.29,NA
"NBA 2K9",1.9,0.17,0,0.22,2.29,NA
"Yokai Watch Busters",0,0,2.28,0,2.28,JP
"TOCA Touring Car Championship",0.07,2,0.02,0.18,2.28,EU
"Midnight Club II",1.67,0.35,0,0.26,2.28,NA
"Tom Clancy's Rainbow Six",1.41,0.78,0,0.09,2.28,NA
Rocksmith,1.36,0.58,0.1,0.25,2.28,NA
"Tom Clancy's Splinter Cell: Blacklist",1,0.95,0.07,0.3,2.28,NA
"Disney Universe",1.34,0.68,0,0.24,2.27,NA
"Paper Mario: Sticker Star",1.12,0.39,0.64,0.12,2.27,NA
"Super Monkey Ball: Banana Blitz",1.07,0.92,0.04,0.24,2.27,NA
"Kirby: Nightmare in Dream Land",1.22,0.1,0.91,0.04,2.27,NA
"Dynasty Warriors 4",0.75,0.24,1.13,0.14,2.27,JP
"Wario Land 4",0.9,0.73,0.54,0.09,2.26,NA
"Darksiders II",1.02,0.94,0.01,0.3,2.26,NA
"LEGO Marvel's Avengers",0.96,1,0.01,0.29,2.26,EU
"Onimusha 2: Samurai's Destiny",0.62,0.44,1.06,0.13,2.25,JP
"Cool Boarders 2",1.52,0.46,0.2,0.08,2.25,NA
"Paper Mario: The Thousand-Year Door",1.48,0.25,0.46,0.06,2.25,NA
"Dissidia: Final Fantasy",0.51,0.51,0.91,0.32,2.25,JP
"NCAA Football 2004",1.87,0.14,0,0.25,2.25,NA
"Doom (2016)",0.94,0.99,0.02,0.29,2.25,EU
"Sonic Advance",1.19,0.71,0.22,0.13,2.24,NA
"Hasbro Family Game Night",1.26,0.75,0,0.22,2.24,NA
"Dead to Rights",1.32,0.72,0,0.2,2.24,NA
"Petz Dogz 2",1.28,0.74,0,0.23,2.24,NA
"Tom Clancy's Splinter Cell: Chaos Theory",1.18,0.85,0,0.2,2.23,NA
"Rock Band 3",1.81,0.26,0,0.18,2.23,NA
"The Amazing Spider-Man (Console Version)",1.2,0.77,0,0.24,2.23,NA
"Skylanders: SuperChargers",1.07,0.92,0,0.24,2.23,NA
"Spyro: Season of Ice",1.29,0.83,0,0.11,2.23,NA
"Teenage Mutant Ninja Turtles II: The Arcade Game",1.74,0.25,0.21,0.03,2.23,NA
"Dance Dance Revolution X2",1.09,0.85,0,0.28,2.23,NA
"Pro Yakyuu Family Stadium",0.15,0,2.08,0,2.23,JP
"New Super Luigi U",1.27,0.62,0.18,0.16,2.22,NA
Scribblenauts,1.71,0.32,0.02,0.18,2.22,NA
"The Legend of Zelda: Link's Awakening DX",1,0.63,0.45,0.13,2.22,NA
"Forza Horizon 2",0.85,1.21,0.01,0.16,2.22,EU
"Red Dead Redemption: Undead Nightmare",1.01,0.85,0.08,0.27,2.22,NA
"The Legend of Spyro: Dawn of the Dragon",1.08,0.66,0,0.48,2.22,NA
"Devil May Cry 3: Dante's Awakening Special Edition",1.06,0.82,0.05,0.28,2.21,NA
"Spy Hunter",1.54,0.43,0,0.24,2.21,NA
"Madden NFL 17",1.75,0.12,0,0.34,2.21,NA
"Wario Land 3",1.11,0.51,0.34,0.23,2.2,NA
"High School Musical: Makin' the Cut!",1.06,0.91,0,0.23,2.2,NA
"Dante's Inferno",1.39,0.51,0.07,0.23,2.2,NA
"DJ Hero 2",1.6,0.4,0,0.19,2.2,NA
"Scooby-Doo! First Frights",1.65,0.25,0,0.3,2.19,NA
"Resident Evil: Revelations",0.63,0.76,0.57,0.21,2.19,EU
"Saints Row",1.17,0.78,0.02,0.22,2.19,NA
"Kirby's Pinball Land",0.87,0.17,1.1,0.05,2.19,JP
"Def Jam Vendetta",1.14,0.79,0,0.26,2.19,NA
"Mortal Kombat 4",1.36,0.72,0,0.11,2.19,NA
"MVP Baseball 2004",1.74,0.24,0,0.21,2.19,NA
"Yu-Gi-Oh: Duel Monsters 4",0,0,2.17,0.01,2.18,JP
"ATV Offroad Fury 2",1.92,0.2,0,0.06,2.18,NA
"Forza Motorsport 5",1.21,0.78,0.01,0.17,2.18,NA
"Pokemon Ranger",1.29,0.04,0.73,0.12,2.18,NA
"Derby Stallion",0,0,2.05,0.14,2.18,JP
"Dragon Ball: XenoVerse",0.79,0.87,0.26,0.27,2.18,EU
"Madagascar: Escape 2 Africa",1.11,0.62,0,0.45,2.18,NA
"Mario & Luigi: Superstar Saga",1.48,0.17,0.47,0.06,2.17,NA
"Star Wars: Rogue Squadron",1.6,0.46,0.08,0.03,2.17,NA
"Tom Clancy's Splinter Cell: Conviction",1.2,0.71,0.04,0.21,2.17,NA
"NBA Ballers",1.18,0.74,0,0.23,2.17,NA
Diablo,0.3,1.77,0.07,0.04,2.17,EU
"NCAA Football 2003",1.71,0.23,0,0.22,2.17,NA
Bayonetta,0.95,0.67,0.3,0.25,2.17,NA
"The Sims: House Party",1.23,0.83,0,0.1,2.16,NA
"Your Shape featuring Jenny McCarthy",1.51,0.47,0,0.18,2.16,NA
"Fight Night 2004",1.59,0.35,0,0.22,2.16,NA
"Tony Hawk: RIDE",1.54,0.42,0,0.21,2.16,NA
"Tiger Woods PGA Tour 07",1.68,0.23,0,0.26,2.16,NA
"LEGO Rock Band",1.39,0.56,0,0.22,2.16,NA
"Harry Potter and the Prisoner of Azkaban",1.3,0.68,0,0.17,2.15,NA
"Tony Hawk's Proving Ground",1.83,0.11,0,0.22,2.15,NA
"Syphon Filter 2",1.5,0.55,0.02,0.08,2.15,NA
Volleyball,0.14,0.03,1.98,0,2.15,JP
"Super Street Fighter II",0.52,0.16,1.44,0.03,2.15,JP
"Call of Duty: Roads to Victory",0.52,1.03,0,0.59,2.14,EU
"Super Mario RPG: Legend of the Seven Stars",0.66,0,1.45,0.03,2.14,JP
Mahjong,0.01,0,2.13,0,2.14,JP
"R.C. Pro-Am",1.47,0.38,0.19,0.1,2.14,NA
"NCAA Football 11",1.84,0.15,0,0.17,2.14,NA
"MySims Agents",1.17,0.75,0,0.21,2.13,NA
"South Park: The Stick of Truth",1.06,0.78,0,0.27,2.13,NA
"Prince of Persia: The Forgotten Sands",0.83,0.95,0.02,0.32,2.13,EU
"Demon Attack",1.99,0.12,0,0.02,2.13,NA
"Dance Dance Revolution Extreme",1.04,0.81,0,0.27,2.13,NA
"Tetris DS",0.64,0.07,1.35,0.08,2.13,JP
"Final Fantasy Tactics Advance",0.82,0.37,0.89,0.05,2.13,JP
"Kirby's Epic Yarn",1.47,0.09,0.45,0.11,2.12,NA
"Project Gotham Racing",1.37,0.61,0.05,0.09,2.12,NA
"NASCAR 2000",1.37,0.63,0,0.1,2.12,NA
"Sniper: Ghost Warrior",0.8,1,0.04,0.29,2.12,EU
"Army of Two: The 40th Day",1.18,0.64,0.01,0.28,2.12,NA
"Mario Sports Mix",0.9,0.45,0.63,0.13,2.11,NA
"Dead Rising",1.17,0.65,0.08,0.2,2.11,NA
"Parasite Eve",0.94,0.07,1.05,0.04,2.1,JP
"Project Gotham Racing (JP weekly sales)",1.54,0.44,0.04,0.07,2.1,NA
"Need for Speed: Most Wanted 5-1-0",1.77,0.13,0.02,0.18,2.1,NA
"Tak and the Power of Juju",1.26,0.67,0,0.17,2.1,NA
"Thief (2014)",0.78,0.94,0.05,0.33,2.1,EU
"Prince of Persia",1.01,0.76,0.05,0.28,2.09,NA
"Devil May Cry 3: Dante's Awakening",0.99,0.63,0.29,0.19,2.09,NA
"Metal Gear Solid: Peace Walker",0.46,0.42,0.96,0.25,2.09,JP
"WCW Nitro",1.59,0.4,0.03,0.07,2.09,NA
"Disney Sing It: Pop Hits",1.35,0.35,0,0.38,2.09,NA
"World of Warcraft: Cataclysm",1.77,0.32,0,0,2.08,NA
"Dance Dance Revolution: Hottest Party",1.36,0.52,0,0.2,2.08,NA
"Mario Party 5",0.97,0.33,0.73,0.06,2.08,NA
"Warcraft: Orcs & Humans",0.89,1.08,0,0.11,2.08,EU
"Call of Duty 2",1.81,0.1,0.01,0.16,2.08,NA
"Sid Meier's Civilization Revolution",1.45,0.39,0.03,0.21,2.08,NA
"Kingdoms of Amalur: Reckoning",1.06,0.68,0.1,0.22,2.07,NA
Jeopardy!,1.45,0.47,0,0.15,2.07,NA
"Spec Ops: Airborne Commando",1.54,0.46,0,0.08,2.07,NA
"Kingdom Hearts: Birth by Sleep",0.63,0.42,0.75,0.26,2.07,JP
"Yu-Gi-Oh! The Eternal Duelist Soul",1.64,0.36,0,0.07,2.07,NA
"Sled Storm",1.12,0.78,0,0.17,2.07,NA
"Pokemon Mystery Dungeon: Red/Blue Rescue Team",0.71,0.52,0.74,0.08,2.06,JP
"R4: Ridge Racer Type 4",0.68,0.46,0.79,0.13,2.06,JP
"Mario & Luigi: Dream Team",0.89,0.57,0.46,0.13,2.06,NA
"PaRappa The Rapper",0.36,0.16,1.48,0.04,2.06,JP
"Midway Arcade Treasures",1.18,0.67,0,0.2,2.06,NA
"NFL 2K3",1.61,0.23,0,0.21,2.06,NA
"Driver: San Francisco",0.6,1.12,0.01,0.31,2.06,EU
"UFC Undisputed 3",1.27,0.55,0.03,0.2,2.05,NA
"PokÃ©mon Mystery Dungeon: Blue Rescue Team",1.16,0.06,0.83,0,2.05,NA
"Sonic Mega Collection",1.47,0.48,0.05,0.06,2.05,NA
"PGR4 - Project Gotham Racing 4",0.48,1.29,0.02,0.25,2.05,EU
"Dig Dug",1.52,0.1,0.41,0.02,2.05,NA
"Dave Mirra Freestyle BMX 2",1.17,0.68,0,0.2,2.05,NA
"Kingdom Hearts 358/2 Days",1.11,0.27,0.53,0.14,2.04,NA
"Dance Central 2",1.45,0.42,0.01,0.16,2.04,NA
"SOCOM: U.S. Navy SEALs: Combined Assault",1.74,0.02,0,0.28,2.04,NA
"Major League Baseball 2K5",1.24,0.58,0,0.21,2.04,NA
"Blazing Angels: Squadrons of WWII",1.52,0.31,0,0.19,2.04,NA
"Tiger Woods PGA Tour 09",0.92,0.64,0,0.48,2.04,NA
"Final Fantasy Type-0",0.52,0.39,0.96,0.16,2.03,JP
"The Incredible Hulk",1.66,0.23,0,0.15,2.03,NA
"1080Â°: TenEighty Snowboarding",1.25,0.61,0.13,0.05,2.03,NA
"Rockstar Games presents Table Tennis",0.67,1.12,0,0.24,2.03,EU
"Forza Horizon",0.82,0.98,0.04,0.18,2.02,EU
Driv3r,0.98,0.86,0,0.19,2.02,NA
"MX vs. ATV Reflex",1.35,0.44,0,0.22,2.02,NA
"Duke Nukem Forever",1.03,0.73,0,0.25,2.02,NA
"Guitar Hero Live",0.94,0.8,0,0.27,2.02,NA
G-Force,1.06,0.62,0,0.34,2.02,NA
"NBA Live 09",1.51,0.22,0.06,0.22,2.01,NA
TouchMaster,0.49,1.27,0,0.25,2.01,EU
SimCity,0.93,0.29,0.75,0.05,2.01,NA
"GoldenEye 007 (2010)",0.96,0.74,0.13,0.17,2.01,NA
Centipede,1.62,0.33,0,0.05,2.01,NA
"Max Payne 2: The Fall of Max Payne",1.12,0.68,0,0.19,2.01,NA
"Naruto Shippuden: Ultimate Ninja Storm 2",0.85,0.74,0.16,0.25,2.01,NA
"WCW Mayhem",1.31,0.61,0,0.09,2.01,NA
"Fire Emblem: Awakening",0.89,0.45,0.53,0.13,2,NA
DriveClub,0.35,1.31,0.02,0.33,2,EU
"Red Dead Revolver",1.11,0.67,0,0.21,2,NA
"Resident Evil: Operation Raccoon City",1.03,0.43,0.39,0.17,2,NA
"NBA 2K8",1.79,0.03,0,0.2,2,NA
"NCAA Football 09",1.8,0.02,0,0.18,2,NA
